,Ticker,Name,Last Sale,Net Change,% Change,Market Cap
197,AON,Aon plc Class A Ordinary Shares (Ireland),$350.21,3.37,0.972%,"75,272,479,156"
198,CSX,CSX Corporation Common Stock,$39.85,0.70,1.788%,"74,206,157,697"
199,CDNS,"Cadence Design Systems, Inc. Common Stock",$271.42,2.92,1.088%,"73,880,795,420"
200,DB,Deutsche Bank AG Common Stock,$37.90,-1.95,-4.893%,"73,838,784,342"
201,VALE,VALE S.A.  American Depositary Shares Each Representing one common share,$17.03,0.03,0.176%,"72,697,302,743"
202,CI,The Cigna Group Common Stock,$271.71,-3.68,-1.336%,"72,580,755,465"
203,HOOD,"Robinhood Markets, Inc. Class A Common Stock",$80.62,-6.45,-7.408%,"72,492,606,619"
204,HLT,Hilton Worldwide Holdings Inc. Common Stock,$308.81,4.21,1.382%,"71,778,303,612"
205,CP,Canadian Pacific Kansas City Limited Common Shares,$79.56,2.95,3.851%,"71,670,134,091"
206,TDG,Transdigm Group Incorporated Common Stock,"$1,264.79",-37.14,-2.853%,"71,400,350,049"
207,TFC,Truist Financial Corporation Common Stock,$55.11,1.08,1.999%,"70,499,264,199"
208,VRT,"Vertiv Holdings, LLC Class A Common Stock",$182.56,-7.59,-3.992%,"69,799,682,421"
209,INFY,Infosys Limited American Depositary Shares,$16.74,-0.58,-3.349%,"69,541,530,876"
210,MSI,"Motorola Solutions, Inc. Common Stock",$416.30,6.83,1.668%,"69,336,845,667"
211,PWR,"Quanta Services, Inc. Common Stock",$464.57,-24.03,-4.918%,"69,274,767,624"
212,NSC,Norfolk Southern Corporation Common Stock,$306.84,8.52,2.856%,"68,850,789,560"
213,E,ENI S.p.A. Common Stock,$41.85,0.30,0.722%,"68,727,964,257"
214,PCAR,PACCAR Inc. Common Stock,$128.78,0.88,0.688%,"67,635,817,352"
215,RSG,"Republic Services, Inc. Common Stock",$218.20,4.25,1.986%,"67,546,777,302"
216,WBD,"Warner Bros. Discovery, Inc. Series A Common Stock",$27.03,-0.16,-0.588%,"66,979,650,978"
217,KMI,"Kinder Morgan, Inc. Common Stock",$30.06,-0.26,-0.858%,"66,876,297,323"
218,TRV,"The Travelers Companies, Inc. Common Stock",$295.22,6.99,2.425%,"65,852,781,967"
219,AMX,"America Movil, S.A.B. de C.V. American Depositary Shares (each representing the right to receive twenty (20) Series B Shares",$21.50,-0.26,-1.195%,"65,295,500,000"
